nombre,anio
Física Ⅰ, 1
Análisis Matemático Ⅰ,1
Inglés Básico,1
Álgebra Ⅰ,1
Problemas de Historia del Siglo ⅩⅩ,1
Analisis 2,1
Fisica 2,2
Fisica 3,2
Cultura Contemporanea,2
Quimica,3
Fisico-Quimica,2
